locality,Price,Number_bedrooms,Living_area
196111.11111111112,248000,3.0,118.0
240558.82352941178,279000,2.0,109.0
252069.38775510204,159000,1.0,50.0
239500.0,139000,1.0,43.0
196111.11111111112,198000,1.0,71.0
252069.38775510204,263000,2.0,87.0
252069.38775510204,252000,2.0,82.0
341800.0,265000,2.0,72.0
341000.0,495000,2.0,92.0
260753.96825396825,169000,1.0,60.0
299330.5970149254,210000,2.0,70.0
299330.5970149254,240000,2.0,75.0
252560.162601626,245000,2.0,85.0
379318.75,295000,2.0,108.0
135000.0,135000,1.0,53.0
260753.96825396825,195000,2.0,100.0
320400.0,299000,2.0,105.0
374320.2702702703,344000,2.0,77.0
238722.22222222222,324000,3.0,110.0
367380.0,378900,3.0,205.0
299330.5970149254,190000,1.0,78.0
379318.75,466500,3.0,140.0
379318.75,482500,3.0,136.0
379318.75,558500,3.0,133.0
260753.96825396825,209000,2.0,100.0
379318.75,295000,2.0,85.0
401304.347826087,285000,2.0,95.0
379318.75,207500,1.0,55.0
299330.5970149254,280000,3.0,83.0
411343.975,322500,2.0,85.0
379318.75,368500,2.0,104.0
379318.75,462500,3.0,133.0
411343.975,385000,3.0,110.0
527739.1304347826,675000,3.0,218.0
299330.5970149254,230000,2.0,130.0
379318.75,274000,3.0,134.0
356666.6666666667,425000,4.0,201.0
527739.1304347826,415000,2.0,124.0
527739.1304347826,420000,2.0,124.0
379318.75,319500,2.0,103.0
299330.5970149254,349000,2.0,90.0
299330.5970149254,360000,2.0,94.0
341800.0,377000,2.0,114.0
401304.347826087,395000,2.0,89.0
401304.347826087,475000,3.0,115.0
260753.96825396825,175000,1.0,75.0
260753.96825396825,285000,2.0,139.0
252560.162601626,185000,1.0,70.0
374320.2702702703,301950,1.0,67.0
292142.85714285716,475000,3.0,149.0
260753.96825396825,340000,2.0,89.0
388468.75,345000,2.0,110.0
292142.85714285716,625000,4.0,226.0
252560.162601626,220000,2.0,140.0
252560.162601626,229000,2.0,67.0
411343.975,320000,2.0,77.0
379318.75,352500,2.0,104.0
260753.96825396825,260000,2.0,94.0
252069.38775510204,330000,2.0,85.0
154500.0,110000,1.0,32.0
154500.0,165000,1.0,65.0
527739.1304347826,675000,3.0,204.0
238888.88888888888,115000,1.0,34.0
527739.1304347826,415000,2.0,124.0
252560.162601626,292000,3.0,119.0
252560.162601626,294000,3.0,119.0
252560.162601626,297000,3.0,119.0
252560.162601626,299000,3.0,119.0
299330.5970149254,380000,2.0,127.0
252560.162601626,250000,3.0,115.0
320400.0,279000,3.0,90.0
341800.0,335000,3.0,107.0
260753.96825396825,185000,2.0,82.0
299330.5970149254,190000,2.0,70.0
299330.5970149254,192000,2.0,90.0
299330.5970149254,205000,2.0,85.0
379318.75,220000,4.0,150.0
299330.5970149254,225000,2.0,80.0
374320.2702702703,250000,1.0,55.0
299330.5970149254,265000,3.0,85.0
379318.75,295000,2.0,80.0
260753.96825396825,319000,2.0,85.0
411343.975,335000,2.0,90.0
379318.75,375000,3.0,140.0
350000.0,375000,3.0,140.0
299330.5970149254,295000,1.0,73.0
376419.1875,306204,1.0,72.0
376419.1875,415839,2.0,99.0
341800.0,477000,3.0,144.0
238888.88888888888,238000,2.0,83.0
376419.1875,307549,2.0,84.0
376419.1875,311202,1.0,77.0
376419.1875,359927,1.0,99.0
260753.96825396825,245000,2.0,85.0
374320.2702702703,260000,1.0,61.0
260753.96825396825,425000,4.0,214.0
411343.975,238500,1.0,49.0
341000.0,269000,1.0,110.0
376419.1875,297096,1.0,66.0
376419.1875,415839,2.0,98.0
238888.88888888888,155000,1.0,65.0
260753.96825396825,225000,2.0,92.0
374320.2702702703,230000,1.0,43.0
388468.75,470000,2.0,109.0
299330.5970149254,413800,2.0,137.0
252560.162601626,150000,2.0,60.0
388468.75,465000,2.0,109.0
260753.96825396825,220000,2.0,96.0
252560.162601626,175000,2.0,80.0
238722.22222222222,268000,2.0,101.0
411343.975,260000,1.0,43.0
375625.0,310000,2.0,93.0
299330.5970149254,315000,3.0,112.0
252560.162601626,165000,2.0,85.0
379318.75,385500,2.0,103.0
375625.0,435000,2.0,101.0
483625.0,580000,2.0,124.0
341800.0,205000,1.0,57.0
341800.0,220000,1.0,57.0
299330.5970149254,425000,2.0,94.0
220500.0,221500,2.0,93.0
379318.75,437125,2.0,147.0
379318.75,447175,2.0,150.0
299330.5970149254,238000,2.0,100.0
379318.75,249000,2.0,85.0
379318.75,265000,3.0,99.0
379318.75,319000,2.0,75.0
375625.0,329000,3.0,177.0
374320.2702702703,650000,3.0,135.0
411343.975,297000,1.0,58.0
299330.5970149254,235000,1.0,65.0
320400.0,249000,2.0,80.0
379318.75,275000,2.0,75.0
411343.975,299000,2.0,80.0
320400.0,350000,4.0,200.0
379318.75,361800,3.0,131.0
252560.162601626,155000,1.0,70.0
375625.0,655000,3.0,157.0
341000.0,170000,1.0,67.0
379318.75,180000,1.0,71.0
260753.96825396825,220000,2.0,81.0
238888.88888888888,239000,3.0,130.0
374320.2702702703,260000,1.0,65.0
411343.975,265000,3.0,104.0
411343.975,320000,1.0,67.0
299330.5970149254,330000,2.0,107.0
310000.0,330000,2.0,107.0
379318.75,389000,2.0,131.0
379318.75,425000,3.0,185.0
483625.0,525000,3.0,141.0
379318.75,371850,3.0,128.0
299330.5970149254,410000,2.0,91.0
252560.162601626,233000,1.0,71.0
252560.162601626,233500,1.0,72.0
252560.162601626,266500,2.0,96.0
252560.162601626,267500,2.0,96.0
401304.347826087,375000,2.0,95.0
374320.2702702703,375000,2.0,95.0
260753.96825396825,190000,2.0,90.0
341000.0,220000,2.0,77.0
375625.0,345000,3.0,100.0
379318.75,259500,1.0,69.0
401304.347826087,395000,2.0,89.0
379318.75,409500,3.0,126.0
411343.975,450000,3.0,140.0
388468.75,705000,3.0,158.0
299330.5970149254,415000,3.0,172.0
379318.75,180000,2.0,71.0
252560.162601626,250000,3.0,115.0
376419.1875,375000,2.0,108.0
376419.1875,385000,2.0,114.0
252560.162601626,160000,2.0,70.0
252560.162601626,249000,2.0,84.0
379318.75,250000,1.0,82.0
374320.2702702703,275000,2.0,78.0
299330.5970149254,290000,2.0,88.0
310000.0,290000,2.0,88.0
379318.75,297500,2.0,85.0
388468.75,355500,2.0,70.0
376419.1875,379500,2.0,85.0
388468.75,418000,2.0,89.0
376419.1875,418000,2.0,89.0
260753.96825396825,445000,3.0,125.0
411343.975,450000,3.0,125.0
252560.162601626,235000,3.0,110.0
238888.88888888888,145000,3.0,95.0
401304.347826087,370000,2.0,98.0
411343.975,394000,2.0,128.0
379318.75,394000,2.0,128.0
299330.5970149254,710000,2.0,94.0
252560.162601626,90000,1.0,46.0
252560.162601626,170000,1.0,63.0
379318.75,225000,2.0,75.0
411343.975,318500,1.0,74.0
401304.347826087,365000,2.0,97.0
411343.975,423400,2.0,90.0
238500.0,175000,2.0,90.0
374320.2702702703,440000,3.0,116.0
341800.0,335000,3.0,108.0
238722.22222222222,189000,1.0,72.0
252560.162601626,210000,1.0,69.0
388468.75,245000,2.0,85.0
374320.2702702703,455000,3.0,117.0
252560.162601626,229500,1.0,72.0
252560.162601626,229500,1.0,71.0
252560.162601626,234500,1.0,72.0
252560.162601626,239000,1.0,72.0
252560.162601626,239000,1.0,71.0
252560.162601626,269000,2.0,96.0
252560.162601626,269000,2.0,96.0
158629.16666666666,90000,1.0,58.0
250661.53846153847,265000,1.0,66.0
250661.53846153847,215000,2.0,83.0
282329.1666666667,139000,1.0,45.0
243191.66666666666,225000,2.0,93.0
250661.53846153847,450000,3.0,116.0
196900.0,209000,2.0,96.0
250661.53846153847,160000,1.0,60.0
203822.5806451613,160000,1.0,65.0
203822.5806451613,165000,3.0,170.0
238700.0,205000,2.0,77.0
250661.53846153847,250000,2.0,154.0
196900.0,285000,4.0,160.0
243191.66666666666,360000,2.0,85.0
250661.53846153847,293000,2.0,89.0
293000.0,293000,2.0,89.0
299330.5970149254,350000,2.0,106.0
195666.66666666666,124000,3.0,65.0
260753.96825396825,159000,2.0,82.0
401304.347826087,275000,2.0,86.0
252560.162601626,275000,2.0,96.0
252560.162601626,289000,2.0,101.0
252560.162601626,295000,2.0,101.0
252560.162601626,295000,3.0,114.0
252560.162601626,299000,3.0,114.0
252560.162601626,299000,3.0,114.0
252560.162601626,305000,2.0,96.0
252560.162601626,319000,3.0,114.0
252560.162601626,325000,3.0,114.0
341800.0,477000,3.0,144.0
299330.5970149254,240000,2.0,106.0
367380.0,219000,2.0,65.0
253740.0,230000,2.0,194.0
252560.162601626,295000,3.0,125.0
374320.2702702703,389000,2.0,75.0
341000.0,500000,2.0,110.0
299330.5970149254,306300,2.0,98.0
252560.162601626,180000,2.0,100.0
253740.0,225000,1.0,55.0
341000.0,425000,2.0,100.0
401304.347826087,660000,3.0,196.0
299330.5970149254,230000,2.0,70.0
260753.96825396825,350000,3.0,155.0
252560.162601626,115000,1.0,60.0
260753.96825396825,135000,1.0,50.0
379318.75,230000,1.0,82.0
388468.75,269000,3.0,110.0
238700.0,225000,1.0,38.0
243191.66666666666,204500,1.0,89.0
270000.0,290000,2.0,83.0
154400.0,355000,2.0,122.0
196900.0,300000,2.0,165.0
270000.0,415000,3.0,115.0
270000.0,180000,2.0,85.0
243191.66666666666,275000,2.0,99.0
253740.0,288700,2.0,109.0
374320.2702702703,350000,2.0,100.0
299330.5970149254,355000,2.0,106.0
243191.66666666666,190000,2.0,75.0
154400.0,99000,1.0,82.0
251578.4375,175000,2.0,70.0
282329.1666666667,220000,1.0,81.0
282329.1666666667,243500,1.0,76.0
216138.5,250000,2.0,174.0
193260.0,125000,4.0,99.0
216138.5,149000,2.0,140.0
275687.5,229000,1.0,78.0
275687.5,262000,2.0,103.0
275687.5,274000,2.0,103.0
275687.5,275000,2.0,103.0
275687.5,275000,2.0,102.0
275687.5,279000,2.0,103.0
275687.5,280000,2.0,102.0
275687.5,284500,2.0,97.0
275687.5,297000,3.0,126.0
275687.5,300000,3.0,126.0
203822.5806451613,319000,2.0,127.0
203822.5806451613,325000,2.0,127.0
203822.5806451613,329000,2.0,132.0
275687.5,334500,3.0,126.0
255851.85185185185,179000,2.0,73.0
191738.75,230000,3.0,98.0
238700.0,249000,1.0,61.0
115181.81818181818,143000,2.0,133.0
243191.66666666666,330000,3.0,140.0
367380.0,249000,2.0,77.0
238722.22222222222,284000,2.0,103.0
260753.96825396825,425000,4.0,220.0
401304.347826087,399000,2.0,98.0
401304.347826087,404000,2.0,100.0
401304.347826087,450000,2.0,120.0
299330.5970149254,178000,2.0,62.0
252560.162601626,159000,2.0,73.0
252560.162601626,299000,3.0,185.0
105000.0,105000,2.0,60.0
250661.53846153847,199000,2.0,70.0
250661.53846153847,210000,1.0,80.0
191738.75,249000,3.0,116.0
251578.4375,369000,3.0,125.0
243191.66666666666,175000,1.0,71.0
243191.66666666666,185000,1.0,82.0
250661.53846153847,237000,2.0,100.0
250661.53846153847,250000,2.0,65.0
250661.53846153847,149500,1.0,70.0
243191.66666666666,235000,3.0,115.0
282329.1666666667,249000,2.0,90.0
195500.0,149000,3.0,110.0
250661.53846153847,159000,3.0,95.0
193260.0,265800,2.0,77.0
250661.53846153847,175000,2.0,90.0
250661.53846153847,204000,2.0,92.0
220500.0,219500,1.0,90.0
220500.0,220500,2.0,89.0
401304.347826087,445000,2.0,165.0
299330.5970149254,425000,2.0,94.0
299330.5970149254,595000,3.0,155.0
374320.2702702703,299000,2.0,70.0
299330.5970149254,150000,1.0,61.0
299330.5970149254,199000,2.0,75.0
299330.5970149254,249000,2.0,80.0
379318.75,249000,5.0,160.0
379318.75,310000,2.0,85.0
350000.0,350000,2.0,105.0
411343.975,629000,3.0,133.0
379318.75,290000,3.0,355.0
260753.96825396825,135000,1.0,60.0
299330.5970149254,175000,2.0,62.0
292142.85714285716,200000,3.0,153.0
379318.75,240000,2.0,90.0
379318.75,275000,3.0,112.0
374320.2702702703,340000,2.0,75.0
374320.2702702703,660000,3.0,119.0
527739.1304347826,675000,3.0,204.0
260753.96825396825,275000,2.0,85.0
411343.975,565000,3.0,170.0
252560.162601626,129000,2.0,75.0
260753.96825396825,265000,2.0,93.0
299330.5970149254,175000,2.0,82.0
527739.1304347826,330000,2.0,80.0
292142.85714285716,175000,3.0,115.0
260753.96825396825,185000,2.0,85.0
379318.75,259000,3.0,106.0
299330.5970149254,295000,2.0,124.0
320000.0,320000,4.0,141.0
388468.75,339000,2.0,89.0
299330.5970149254,410000,2.0,91.0
238722.22222222222,142500,1.0,37.0
260753.96825396825,190000,3.0,108.0
299330.5970149254,200000,1.0,60.0
260753.96825396825,275000,2.0,80.0
299330.5970149254,300000,2.0,85.0
527739.1304347826,399000,1.0,98.0
527739.1304347826,475000,2.0,144.0
411343.975,496259,3.0,113.0
527739.1304347826,550000,2.0,143.0
251578.4375,265000,1.0,50.0
251578.4375,295000,2.0,82.0
251578.4375,305000,3.0,98.0
251578.4375,390000,2.0,95.0
260753.96825396825,215000,2.0,105.0
483625.0,270000,2.0,82.0
238700.0,395000,3.0,121.0
240800.0,175000,2.0,110.0
255851.85185185185,120000,1.0,65.0
243191.66666666666,260000,2.0,108.0
203822.5806451613,99000,1.0,62.0
158629.16666666666,240550,2.0,102.0
158629.16666666666,268000,2.0,107.0
243191.66666666666,250000,3.0,105.0
282329.1666666667,299900,2.0,90.0
250661.53846153847,230000,2.0,96.0
243191.66666666666,165000,1.0,60.0
243191.66666666666,250000,2.0,84.0
203822.5806451613,135000,2.0,57.0
230111.11111111112,209000,2.0,110.0
203822.5806451613,125000,2.0,48.0
216138.5,155000,2.0,75.0
250661.53846153847,285000,2.0,90.0
250661.53846153847,295000,3.0,110.0
250661.53846153847,450000,3.0,130.0
255851.85185185185,299000,3.0,190.0
191738.75,270100,2.0,89.0
191738.75,314100,3.0,111.0
275687.5,242000,2.0,103.0
252560.162601626,215000,2.0,81.0
252560.162601626,209000,2.0,90.0
252560.162601626,199000,3.0,110.0
388468.75,295000,1.0,62.0
388468.75,429000,2.0,96.0
388468.75,440000,2.0,109.0
260753.96825396825,190000,2.0,75.0
260753.96825396825,210000,2.0,86.0
260753.96825396825,215000,3.0,104.0
260753.96825396825,230000,2.0,103.0
260753.96825396825,250000,2.0,90.0
191738.75,85000,1.0,50.0
108000.0,105000,1.0,65.0
250661.53846153847,159000,2.0,67.0
221625.0,159000,2.0,67.0
230111.11111111112,175000,2.0,85.0
191738.75,175000,3.0,85.0
230111.11111111112,274000,3.0,95.0
243191.66666666666,145000,1.0,55.0
191738.75,165000,2.0,84.0
193260.0,175000,1.0,75.0
250661.53846153847,199000,2.0,90.0
255851.85185185185,209000,2.0,72.0
243191.66666666666,239000,3.0,118.0
243191.66666666666,259000,3.0,100.0
292142.85714285716,260000,2.0,82.0
252560.162601626,145000,1.0,60.0
260753.96825396825,285000,2.0,90.0
374320.2702702703,285000,1.0,50.0
252560.162601626,115000,1.0,60.0
252560.162601626,160000,2.0,70.0
252560.162601626,179000,1.0,60.0
238722.22222222222,225000,2.0,80.0
260753.96825396825,298000,2.0,91.0
252560.162601626,229900,1.0,71.0
260753.96825396825,250000,2.0,101.0
255851.85185185185,295000,2.0,92.0
203822.5806451613,199000,2.0,86.0
376419.1875,299731,1.0,66.0
238500.0,175000,1.0,90.0
388468.75,255000,2.0,73.0
374320.2702702703,295000,1.0,70.0
374320.2702702703,397000,2.0,90.0
341800.0,377000,2.0,114.0
367380.0,140000,2.0,115.0
252560.162601626,279500,2.0,96.0
306161.74074074073,259000,2.0,120.0
300883.07692307694,149000,1.0,65.0
300883.07692307694,179000,2.0,105.0
300883.07692307694,220000,3.0,128.0
306807.0909090909,259000,3.0,107.0
281484.9743589744,275150,2.0,102.0
281484.9743589744,282500,2.0,100.0
281484.9743589744,300150,2.0,115.0
281484.9743589744,315320,2.0,104.0
318538.0,318538,3.0,115.0
316821.875,335000,2.0,94.0
252560.162601626,233500,1.0,72.0
252560.162601626,235900,1.0,72.0
252560.162601626,265000,2.0,96.0
252560.162601626,266500,2.0,96.0
252560.162601626,269500,2.0,96.0
252560.162601626,285500,2.0,101.0
252560.162601626,285900,2.0,101.0
252560.162601626,289900,2.0,101.0
252560.162601626,291900,3.0,114.0
252560.162601626,291900,2.0,96.0
252560.162601626,293000,3.0,114.0
252560.162601626,293000,1.0,114.0
252560.162601626,295000,2.0,100.0
252560.162601626,296500,3.0,114.0
252560.162601626,325000,3.0,114.0
252560.162601626,329000,2.0,96.0
252560.162601626,339000,3.0,114.0
252560.162601626,451000,3.0,134.0
252560.162601626,490000,3.0,139.0
252560.162601626,160000,1.0,65.0
252560.162601626,279900,2.0,101.0
401304.347826087,275000,1.0,76.0
341000.0,300000,2.0,75.0
483625.0,300000,2.0,75.0
186132.2857142857,160371,1.0,59.0
186132.2857142857,163508,1.0,61.0
186132.2857142857,164746,1.0,62.0
377109.90860215056,250039,1.0,90.0
377109.90860215056,294033,3.0,123.0
316821.875,387400,4.0,153.0
216300.0,129900,1.0,67.0
296985.82608695654,211838,1.0,99.0
350355.8333333333,302171,2.0,99.0
350355.8333333333,327830,2.0,110.0
377109.90860215056,269000,2.0,90.0
377109.90860215056,275000,2.0,90.0
377109.90860215056,345000,1.0,61.0
